Library service,Library name,In use 2010,In use 2016,Type of library,Type of closed library,Closed,New building,Replace existing,Notes,Weekly hours open,Weekly hours staffed
Barking and Dagenham,Barking,Yes,Yes,LAL,,,,,,72.0,72.0
Barking and Dagenham,Castle Green,Yes,No,,XL,Mar-13,,,Closed as a public library 31.3.2013. Secondary School library Jo Richardson School,,
Barking and Dagenham,Dagenham,No,Yes,LAL,,,Oct-10,Yes,Replaced Fanshawe and Rectory libraries,56.0,56.0
Barking and Dagenham,Fanshawe,Yes,No,,XLR,Sep-10,,,Closed September 2010 replaced by Dagenham Library,,
Barking and Dagenham,Marks Gate,Yes,Yes,CRL,,,,,Volunteer led with local authority staff support. Local authority staff available to customers for hours outlined in column N. Staffing shared with Robert Jeyes Community Library.,9.0,9.0
Barking and Dagenham,Markyate,Yes,No,,XL,Sep-12,,,former library part of complex now pre school nursery,,
Barking and Dagenham,Rectory,Yes,No,,XLR,2010,,,Replaced by Dagenham library,,
Barking and Dagenham,Robert Jeyes Community Library,Yes,Yes,CRL,,,,,"Former Robert Jeyes Library, now operated as Robert Jeyes Community Library and run from a charity led community centre. Opened as a community library October 2014 after a re-configuration and refit of original building to create a community centre and library. Local authority staff available to customers for hours outlined in column N.",14.5,14.5
Barking and Dagenham,Rush Green,Yes,No,,XL,Dec-13,,,Collection moved to B&D college. College library provides access to the public to library services and resources from its Learning Resource Centre,,
Barking and Dagenham,Thames View,Yes,Yes,LAL,,,,,Library is co-sited with Children's Centre,30.0,30.0
Barking and Dagenham,Valence,Yes,Yes,LAL,,,,,Community Capacity grant works to create Older Peoples area,36.0,36.0
Barking and Dagenham,Wantz,yes,No,,XL,2012,,,Now Eastbrook Community Centre,,
Barnet,Burnt Oak ,yes,yes,LAL,,,,,,51.0,51.0
Barnet,Childs Hill ,yes,yes,LAL,,,,,Offer to community be a partnership library,35.0,35.0
Barnet,Chipping Barnet ,yes,yes,LAL,,,,,Some refurbishment planned,56.5,56.5
Barnet,Church End ,yes,yes,LAL,,,,Yes,"New site due 2017, will replace current site",50.5,50.5
Barnet,East Barnet ,yes,yes,LAL,,,,,Offer to community be a partnership library,50.5,50.5
Barnet,East Finchley,yes,yes,LAL,,,,,Some refurbishment planned,40.0,40.0
Barnet,Edgware ,yes,yes,LAL,,,,,Some refurbishment planned ,53.5,53.5
Barnet,Friern Barnet Community Library ,Yes,No,ICL,,,,,,,
Barnet,Garden Suburb Community Library ,Yes,No,ICL,,,,,,,
Barnet,Golders Green ,yes,yes,LAL,,,,,Some refurbishment planned and library to become smaller,46.0,46.0
Barnet,Grahame Park (now called Colindale),yes,yes,LAL,,,Sep-16,Yes,Replaced Grahame Park Library,35.0,35.0
Barnet,Hendon,yes,yes,LAL,,,,,Some refurbishment planned and library to become smaller,56.5,56.5
Barnet,Mill Hill ,yes,yes,LAL,,,,,Offer to community be a partnership library,43.0,43.0
Barnet,North Finchley ,yes,yes,LAL,,,,,Some refurbishment planned and library to become smaller,43.0,43.0
Barnet,Osidge,yes,yes,LAL,,,,,Some refurbishment planned and library to become smaller,39.0,39.0
Barnet,South Friern ,yes,yes,LAL,,,,,Offer to community be a partnership library,35.0,35.0
Barnsley,Barnsley Central Library ,yes,yes,LAL,,,2014,Yes,"2014 library was a re-location, not a new build. New building planned for 2017",49.5,49.5
Barnsley,Central,yes,no,,XLR,2014,,,Library relocated to Barnsley Central Library at Wellington House ,,
Barnsley,Cudworth ,yes,yes,LAL,,,,,,44.5,44.5
Barnsley,Darfield ,yes,yes,LAL,,,,,,31.0,31.0
Barnsley,Dodworth ,yes,yes,LAL,,,,,,31.0,31.0
Barnsley,Goldthorpe ,yes,yes,LAL,,,,,,42.5,42.5
Barnsley,Grimethorpe ,yes,yes,LAL,,,,,,39.5,39.5
Barnsley,Hoyland ,yes,no,,XLR,2011,,,Replaced by new Hoyland library,45.0,45.0
Barnsley,Hoyland ,no,yes,LAL,,,2011,Yes,New building to replace old library,,
Barnsley,Kendray ,yes,no,,XL,2015,,,,,
Barnsley,Mapplewell ,yes,yes,LAL,,,,,,45.0,45.0
Barnsley,Penistone ,yes,yes,LAL,,,,,,40.5,40.5
Barnsley,Priory ,yes,yes,CL,,,,,"Statutory provision, delivered by an organisation under a MOU, but not staffed by volunteers or Local Authority staff.  Not funded by Local Authority.",32.5,32.5
Barnsley,Roundhouse ,yes,yes,LAL,,,,,,41.5,41.5
Barnsley,Royston ,yes,yes,LAL,,,,,,44.5,44.5
Barnsley,Thurnscoe ,yes,yes,LAL,,,,,,31.5,31.5
Barnsley,Wombwell ,yes,yes,LAL,,,,,Refurbishment in 2014,42.5,42.5
Barnsley,Worsbrough ,yes,yes,LAL,,,,,,31.0,31.0
Bath and NE Somerset,Bath Central,yes,yes,LAL,,,,,Opening hours will change from October 31,55.0,55.0
Bath and NE Somerset,Chew Stoke Community Library,no,no,CRL,,,,,"Library is in The Bilbie Room, a function room within the Chew Stoke Inn",0.0,0.0
Bath and NE Somerset,Combe Hay Community Library,no,no,CRL,,,,,Library is inside Combe Hay Church,0.0,0.0
Bath and NE Somerset,Keynsham,yes,yes,LAL,,,2014,Yes,Opening hours will change from October 31,50.5,50.5
Bath and NE Somerset,Larkhall Community Library,no,no,CRL,,,,,Library is inside Oriel Hall,0.0,0.0
Bath and NE Somerset,Midsomer Norton,yes,yes,LAL,,,,,Opening hours will change from October 31,37.5,37.5
Bath and NE Somerset,Moorland Road,yes,yes,LAL,,,,,Opening hours will change from October 31,25.0,25.0
Bath and NE Somerset,Paulton (The Hub),yes,yes,LAL,,,2013,Yes,Opening hours will change from October 31,22.0,22.0
Bath and NE Somerset,Radstock,yes,yes,LAL,,,,,Opening hours will change from October 31,21.0,21.0
Bath and NE Somerset,Saltford,yes,yes,LAL,,,,,Opening hours will change from October 31,13.0,13.0
Bath and NE Somerset,Southside Community Library,no,no,CRL,,,,,Library is in Southside Youth Centre adjacent to cafe,0.0,0.0
Bath and NE Somerset,Weston,yes,yes,LAL,,,,,Opening hours will change from October 31,21.5,21.5
Bedford,Bedford Central Library,yes,yes,LAL,,,,,,48.0,48.0
Bedford,Bromham,yes,yes,LAL,,,,,,21.0,21.0
Bedford,Kempston,yes,yes,LAL,,,,,,40.0,40.0
Bedford,Putnoe,yes,yes,LAL,,,,,,40.0,40.0
Bedford,Wootton,yes,yes,LAL,,,,,,18.0,18.0
Bexley,Bexley Community Library,yes,no,ICL+,,,,,Temporary closure - closed 3/7/12 and reopened as a community library on 5/7/12. Closed 5/9/15 for refurbishment and reopened on 29/9/15,25.0,25.0
Bexley,Blackfen Community Library,yes,no,ICL+,,,,,Temporary closure - closed 9/4/16 and reopened as a community library on 25/4/16,27.0,27.0
Bexley,Bostall Community Library,yes,no,ICL+,,,,,Temporary closure - closed 22/3/16 and reopened as a community library on 4/4/16,27.0,27.0
Bexley,Central Library,yes,yes,LAL,,,,,,52.0,52.0
Bexley,Crayford Library,yes,yes,LAL,,,2012,Yes,Temporary closure - the old library closed on 5/11/12 and opened on a new site on 17/11/12. This was significant refurbishment,47.5,47.5
Bexley,Erith Library,yes,yes,LAL,,,,,,49.0,49.0
Bexley,North Heath Community Library,yes,no,CRL+,,,,,Temporary closure - closed 2/4/16 and reopened as a community library on 11/4/16,40.0,40.0
Bexley,Sidcup Library,yes,yes,LAL,,,,,Temporary closure - closed 20/2/15 for refurbishment and reopened on 7/3/15. This was significant refurbishment,49.0,49.0
Bexley,Slade Green Community Library,yes,no,ICL+,,,,,Temporary closure - closed 27/9/14 and reopened as a community library on 13/10/14,41.0,41.0
Bexley,Thamesmead Library,yes,yes,LAL,,,,,Temporary closure - closed 11/9/13 and reopened on 1/11/13 in temporary accommodation,49.0,49.0
Bexley,Upper Belvedere Community Library,yes,no,CRL+,,,,,Temporary closure - closed 2/4/16 and reopened as a community library on 11/4/16,28.25,28.25
Bexley,Welling Library,yes,yes,LAL,,,,,Temporary closure - closed 6/12/10 for refurbishment and reopened on 11/12/10,47.5,47.5
Birmingham,Acocks Green Library,yes,yes,LAL,,,,,,40.0,40.0
Birmingham,Aston Library,yes,yes,LAL,,,,,,23.0,23.0
Birmingham,Balsall Heath Library,yes,yes,LAL,,,,,Wolfson Childrens library refurburbishment July 2016,35.0,35.0
Birmingham,Bartley Green Library,yes,yes,LAL,,,,,,21.0,21.0
Birmingham,Birchfield Library,yes,yes,LAL,,,,,,29.0,29.0
Birmingham,Birmingham Central,yes,no,,XLR,2013,,,Replaced by the new Library of Birmingham,,
Birmingham,Bloomsbury Library,yes,yes,LAL,,,,,,24.0,24.0
Birmingham,Boldmere Library,yes,yes,LAL,,,,,,29.0,29.0
Birmingham,Castle Vale Library,yes,yes,CRL,,,,,Contract awarded to Castle Vale Tenants and Residents Alliance for 3 years starting Nov 1st 2014. ,28.0,28.0
Birmingham,Cocks Moors Woods Neighbourhood Library,yes,no,,XL,2010,,,,,
Birmingham,Druids Heath Library,yes,yes,LAL,,,,,Wolfson Childrens library refurbishment Spring 2016,24.0,24.0
Birmingham,Erdington Library,yes,yes,LAL,,,,,,40.0,40.0
Birmingham,Frankley Library,yes,yes,LAL,,,,,,21.5,21.5
Birmingham,Glebe Farm Library,yes,yes,LAL,,,,,,26.0,26.0
Birmingham,Hall Green Library,yes,yes,LAL,,,,,,40.0,40.0
Birmingham,Handsworth Library,yes,yes,LAL,,,,,,31.0,31.0
Birmingham,Harborne Library  ,yes,yes,LAL,,,,,,35.0,35.0
Birmingham,Kents Moat Library,yes,yes,LAL,,,,,,26.0,26.0
Birmingham,Kings Heath Library,yes,yes,LAL,,,,,,35.0,35.0
Birmingham,Kings Norton Library,yes,yes,LAL,,,,,Wolfson Childrens library refurbishment Spring 2016,33.0,33.0
Birmingham,Kingstanding Library,yes,yes,LAL,,,,,Wolfson Childrens library refurbishment Spring 2016,21.0,21.0
Birmingham,Library of Birmingham,no,yes,LAL,,,2013,Yes,Replaced Central library,66.0,66.0
Birmingham,Mere Green Library,yes,yes,LAL,,,,,,35.0,35.0
Birmingham,Northfield Library,yes,yes,LAL,,,,,,39.0,39.0
Birmingham,Perry Common Library,yes,yes,LAL,,,,,,24.0,24.0
Birmingham,Quinton Library,yes,yes,LAL,,,,,,39.0,39.0
Birmingham,Selly Oak Library,yes,yes,LAL,,,,,,20.0,20.0
Birmingham,Shard End Library,yes,no,,XLR,2012,,,Replaced by new Shard End Library located in the Shard,,
Birmingham,Shard End Library,no,yes,LAL,,,2012,Yes,Replaced previous Shard End Library on Shustoke Road. The building won the Public Sector Project of the Year award 2012,40.0,40.0
Birmingham,Sheldon Library,yes,yes,LAL,,,,,,26.0,26.0
Birmingham,Small Heath Library,yes,yes,LAL,,,,,Wolfson Childrens library refurbishment Spring 2016,40.0,40.0
Birmingham,South Yardley Library,yes,yes,LAL,,,,,,40.0,40.0
Birmingham,Sparkhill Library,yes,yes,LAL,,,,,,35.0,35.0
Birmingham,Spring Hill Library,yes,yes,LAL,,,,,,24.0,24.0
Birmingham,Stirchley Library,yes,yes,LAL,,,,,,26.0,26.0
Birmingham,Sutton Coldfield Library,yes,yes,LAL,,,,,Refurbished in 2013,40.0,40.0
Birmingham,Tower Hill Library,yes,yes,LAL,,,,,,24.0,24.0
Birmingham,Walmley Library,yes,yes,LAL,,,,,,26.0,26.0
Birmingham,Ward End Library,yes,yes,LAL,,,,,,35.0,35.0
Birmingham,Weoley Castle Library,yes,yes,LAL,,,,,,35.0,35.0
Birmingham,West Heath Library,no,yes,LAL,XLT,,2013,,Temporarily closed due to health and safety,,
Birmingham,Yardley Wood Library,yes,yes,LAL,,,,,,34.0,34.0
Blackburn with Darwen,Blackburn,yes,yes,LAL,,,,,Refurbishment in 2013,45.0,45.0
Blackburn with Darwen,Darwen,yes,yes,LAL,,,,,,33.0,33.0
Blackburn with Darwen,Livesey,yes,yes,CRL+,,,,,,16.0,16.0
Blackburn with Darwen,Mill Hill,yes,yes,CRL+,,,,,,16.0,16.0
Blackburn with Darwen,Roman Road,yes,yes,CL,,,,,,22.0,22.0
Blackpool,Anchorsholme,yes,yes,LAL,,,,,,29.0,29.0
Blackpool,Bispham,yes,no,,XLR,2011,,,Replaced by Moor Park library,,
Blackpool,Blackpool Central,yes,yes,LAL,,,,,Refurbishment in 2011,46.0,46.0
Blackpool,Boundary,yes,yes,LAL,,,,,,22.0,22.0
Blackpool,Layton,yes,yes,LAL,,,,,,34.0,34.0
Blackpool,Mereside,yes,yes,LAL,,,,,,20.0,20.0
Blackpool,Moor Park,no,yes,LAL,,,2011,Yes,Replaced Bisham Library,48.0,48.0
Blackpool,Palatine,yes,yes,LAL,,,,,,46.0,46.0
Blackpool,Revoe,yes,yes,LAL,,,,,,22.0,22.0
Bolton,Astley Bridge,yes,no,,XL,2012,,,Building sold for commercial use,,
Bolton,Blackrod Library,yes,yes,LAL,,,,,,23.5,23.5
Bolton,Bolton Central Library,yes,yes,LAL,,,,,,65.0,65.0
Bolton,Breightmet Library,yes,yes,LAL,,,,,,39.0,39.0
Bolton,Bromley Cross Library,yes,yes,LAL,,,,,,23.0,23.0
Bolton,Castle Hill,yes,no,,XL,2012,,,,,
Bolton,Farnworth Library,yes,yes,LAL,,,,,,45.0,45.0
Bolton,Halliwell UCAN neighbourhood collection,no,no,LAL-,,,,,,39.5,39.5
Bolton,Harwood Library,yes,yes,LAL,,,,,,51.0,51.0
Bolton,Heaton neighbourhood collection,no,no,LAL-,,,,,Main library closed 9-Mar-12,40.0,40.0
Bolton,High Street Library,yes,yes,LAL,,,,,,39.0,39.0
Bolton,Highfield neighbourhood collection (The Orchards),no,no,LAL-,,,,,Main library closed 12-Jan-12,45.0,45.0
Bolton,Horwich Library,yes,yes,LAL,,,,,,49.5,49.5
Bolton,Little Lever Library,yes,yes,LAL,,,,,Refurbishment 2016,45.0,45.0
Bolton,Oldhams neighbourhood collection,no,no,LAL-,,,,,,32.0,32.0
Bolton,Oxford Grove,yes,no,,XL,2012,,,Building turned over to schools,,
Bolton,Tonge UCAN neighbourhood collection,no,no,LAL-,,,,,,18.0,18.0
Bolton,Westhoughton Library,yes,yes,LAL,,,,,,45.0,45.0
Bournemouth,Boscombe Library,yes,yes,LAL,,,,,,187.75,187.75
Bournemouth,Bournemouth Library,yes,yes,LAL,,,,,,425.5,425.5
Bournemouth,Castlepoint Library,yes,yes,LAL,,,,,,214.0,214.0
Bournemouth,Charminster Library,yes,yes,LAL,,,,,,148.75,148.75
Bournemouth,Ensbury Park,yes,yes,LAL,,,,,,46.25,46.25
Bournemouth,Kinson Hub,yes,yes,LAL,,,,,,200.0,200.0
Bournemouth,Pokesdown & Southbourne Library,yes,yes,LAL,,,,,,155.75,155.75
Bournemouth,Springbourne Library,yes,yes,LAL,,,,,,52.75,52.75
Bournemouth,Tuckton Library,yes,yes,LAL,,,,,,118.5,118.5
Bournemouth,Westbourne Library,yes,yes,LAL,,,,,,131.75,131.75
Bournemouth,West Howe Library,yes,yes,LAL,,,,,,83.5,83.5
Bournemouth,Winton Library,yes,yes,LAL,,,,,,155.25,155.25
Bracknell Forest,Ascot Heath,yes,yes,LAL,,,,,Refurbished in 2012,26.0,26.0
Bracknell Forest,Binfield,yes,yes,LAL,,,,,Refurbished in 2013,25.0,25.0
Bracknell Forest,Birch Hill,yes,yes,LAL,,,,,Refurbished in 2011,22.0,22.0
Bracknell Forest,Bracknell Central,yes,yes,LAL,,,,,Refurbished in 2012,42.5,42.5
Bracknell Forest,Crowthorne,yes,yes,LAL,,,,,Refurbished in 2013,46.0,46.0
Bracknell Forest,Great Hollands,yes,yes,LAL,,,,,Refurbished in 2014,17.0,17.0
Bracknell Forest,Harmans Water,yes,yes,LAL,,,,,,16.5,16.5
Bracknell Forest,Sandhurst,yes,yes,LAL,,,,,Refurbished in 2013,34.5,34.5
Bracknell Forest,Whitegrove,yes,yes,LAL,,,,,,45.0,45.0
Bradford,Addingham ,yes,yes,CRL,,,,,Management of the library was transferred to the community in November 2011 and volunteers provide the service with support from Bradford Libraries.,,
Bradford,Baildon ,yes,yes,LAL,,,,,,,
Bradford,Bingley ,yes,yes,LAL,,,,,,,
Bradford,Bolling Hall ,yes,yes,LAL,,,,,Refurbished in 2013,,
Bradford,Burley ,yes,yes,LAL,,,,,,,
Bradford,Cafí© West Allerton,yes,yes,CRL,,,,,Management of the library was transferred to the community in 2015 and volunteers provide the service with support from Bradford Libraries.,,
Bradford,City Library ,yes,yes,LAL,,,,,Refurbished in 2013,,
Bradford,Clayton ,yes,yes,LAL,,,,,,,
Bradford,Denholme ,yes,yes,CRL,,,,,,,
Bradford,Eccleshill ,yes,yes,LAL,,,,,,,
Bradford,Girlington ,yes,no,,XL,2015,,,,,
Bradford,Great Horton ,yes,yes,LAL,,,,,,,
Bradford,Haworth   ,no,no,CRL,,,,,"Methodist Chapels initiative in 2016 - set up libraries in Haworth, Oxenhope and Lees",,
Bradford,Haworth Road ,yes,yes,LAL,,,,,,,
Bradford,Heaton,yes,no,,XL,2015,,,Was in St Barnabas Village Hall,,
Bradford,Holme Wood ,yes,yes,LAL,,,,,,,
Bradford,Idle ,yes,yes,CRL,,,,,Management of the library was transferred to the community in 2016 and volunteers provide the service with support from Bradford Libraries.,,
Bradford,Ilkley ,yes,yes,LAL,,,,,,,
Bradford,Keighley ,yes,yes,LAL,,,,,,,
Bradford,Laisterdyke ,yes,yes,LAL,,,,,,,
Bradford,Lees,no,no,CRL,,,,,"Methodist Chapels initiative in 2016 - set up libraries in Haworth, Oxenhope and Lees",,
Bradford,Local Studies ,yes,yes,LAL,,,,,,,
Bradford,Manningham ,yes,yes,LAL,,,,,,,
Bradford,Menston ,yes,yes,LAL,,,,,,,
Bradford,Oxenhope,no,no,CRL,,,,,"Methodist Chapels initiative in 2016 - set up libraries in Haworth, Oxenhope and Lees",,
Bradford,Queensbury ,yes,yes,LAL,,,,,,,
Bradford,Shipley ,yes,yes,LAL,,,,,Refurbished in 2015,,
Bradford,Silsden,yes,yes,LAL,,,,,,,
Bradford,St Augustine's ,yes,yes,LAL,,,,,,,
Bradford,Thornbury ,yes,yes,LAL,,,,,,,
Bradford,Thornton ,yes,yes,LAL,,,,,,,
Bradford,Wibsey ,yes,yes,LAL,,,,,,,
Bradford,Wilsden ,yes,yes,CRL,,,,,Management of the library was transferred to the community in March 2012 and volunteers provide the service with support from Bradford Libraries,,
Bradford,Wrose ,yes,yes,CRL,,,,,Management of the library was transferred to the community in November 2011 and volunteers provide the service with support from Bradford Libraries,,
Bradford,Wyke ,yes,yes,LAL,,,,,,,
Brent,Barham Park,Yes,no,ICL,,,,,"Council stopped running the service in 2011. Volunteers have run a library at various sites since March 2012 including 428-430 High Road, Wembley and Sudbury Town station. In September 2016 will return to old library site in Barham Park on a 15 year lease",,
Brent,Cricklewood,Yes,no,ICL,,,,,Council stopped running the service in 2011. Volunteer led - new building going up in early 2017 on the old library site. Run by Cricklewood Library Ltd,,
Brent,Ealing Road,Yes,Yes,LAL,,,,,Refurbished in 2012,60.0,60.0
Brent,Harlesden,Yes,Yes,LAL,,,,,,60.0,60.0
Brent,Kensal Rise,Yes,no,,XL,2011,,,"Due to re-open in January 2017 as a new community library. Access to the building soon, but complete refurbishment required (plumbing, heating, electrics) still hope to open by the end of January 2017.",,
Brent,Kilburn,Yes,Yes,LAL,,,,,Refurbished in 2012,56.0,56.0
Brent,Kingsbury,Yes,Yes,LAL,,,,,,56.0,56.0
Brent,Neasden,Yes,no,,XL,2011,,,The building has reverted back to its owners since the library closed in 2011.,,
Brent,Preston,Yes,no,ICL,,,,,"Council stopped running the service in 2011. Opened as a community library and hub with books, papers and classes in April 2015",,
Brent,Tokyngton,Yes,no,,XL,2011,,,,,
Brent,Wembley,No,Yes,LAL,,,2013,Yes,Replaced Town Hall Library,69.0,69.0
Brent,Willesden Green,Yes,Yes,LAL,,,2015,Yes,Replaced the old building on the same site,69.0,69.0
Brent,Town Hall,Yes,no,,XLR,2013,,,Town Hall Library closed at approximately the same time as Wembley Library opened in the new Brent Civic Centre in 2013.,,
Brighton and Hove,Coldean Library,yes,yes,LAL,,,,,,19.0,19.0
Brighton and Hove,Hangleton Library,yes,yes,LAL,,,,,2011 flooding - closure for 3 weeks,28.0,28.0
Brighton and Hove,Hollingbury Library,yes,yes,LAL,,,,,,19.0,19.0
Brighton and Hove,Hove Library,yes,yes,LAL,,,,,,45.5,45.5
Brighton and Hove,Jubilee Library,yes,yes,LAL,,,,,,54.0,54.0
Brighton and Hove,Mile Oak Library,yes,yes,LAL,,,2013,Yes,,20.0,20.0
Brighton and Hove,Moulsecoomb Library,yes,yes,LAL,,,,,,23.0,23.0
Brighton and Hove,Patcham Library,yes,yes,LAL,,,,,,21.0,21.0
Brighton and Hove,Portslade Library,yes,yes,LAL,,,,,,28.0,28.0
Brighton and Hove,Rottingdean Library,yes,yes,LAL,,,,,2011 external refurbishment - no closure,19.0,19.0
Brighton and Hove,Saltdean Library,yes,yes,LAL,,,,,,19.0,19.0
Brighton and Hove,Westdene Library,yes,yes,LAL,XLT,,,,Closed for refurbishment in July 2016,19.0,19.0
Brighton and Hove,Whitehawk Library,yes,yes,LAL,,,2011,Yes,,28.5,28.5
Brighton and Hove,Woodingdean Library,yes,yes,LAL,,,2014,Yes,,19.0,19.0
Bristol,Avonmouth ,yes,yes,LAL,,,,,,20.0,20.0
Bristol,Bedminster,yes,yes,LAL,,,,,,39.0,39.0
Bristol,Bishopsworth,yes,yes,LAL,,,,,,26.0,26.0
Bristol,Bristol Central ,yes,yes,LAL,,,,,,45.0,45.0
Bristol,Cheltenham Road ,yes,yes,LAL,,2016? Uncertain date,,Yes will be replaced by Bishopston,"Will be replaced by Bishopston library - opening date not set. Hours open each week and staffed hours each week will be the same as Cheltenham Road Library. Address: 100A Gloucester Road, Bishopston BS7 8BN",26.0,26.0
Bristol,Clifton ,yes,yes,LAL,,,,,,20.0,20.0
Bristol,Eastville,yes,No,,XL,2016,,,Closed April 2016. Reopened as community hub with library space. Lockleaze 'pop up' library opened when library closed,,
Bristol,Filwood ,yes,yes,LAL,,,,,,22.0,22.0
Bristol,Fishponds ,yes,yes,LAL,,,,,,36.0,36.0
Bristol,Hartcliffe ,yes,yes,LAL,,,,,,22.0,22.0
Bristol,Henbury ,yes,yes,LAL,,,,,,26.0,26.0
Bristol,Henleaze ,yes,yes,LAL,,,,,,37.0,37.0
Bristol,Hillfields ,yes,yes,LAL,,,,,,20.0,20.0
Bristol,Horfield ,yes,yes,LAL,,,,,,26.0,26.0
Bristol,Junction 3 ,No,yes,LAL,,,2013,Yes,Replaced Trinity Road Library,31.0,31.0
Bristol,Knowle ,yes,yes,LAL,,,,,,31.0,31.0
Bristol,Lawrence Weston ,yes,yes,LAL,,,,,,,
Bristol,Lockleaze Library,no,yes,LAL,,,2016,Yes,Lockleaze is a temporary base - opened (described as a 'pop up') when Easville closed,20.0,20.0
Bristol,Marksbury Road ,yes,yes,LAL,,,,,,20.0,20.0
Bristol,Redland ,yes,yes,LAL,,,,,,32.0,32.0
Bristol,Sea Mills ,yes,yes,LAL,,,,,,26.0,26.0
Bristol,Shirehampton ,yes,yes,LAL,,,,,,20.0,20.0
Bristol,Southmead ,yes,yes,LAL,,,,,,22.0,22.0
Bristol,St George ,yes,yes,LAL,,,,,,26.0,26.0
Bristol,St Pauls ,yes,yes,LAL,,,,,,22.0,22.0
Bristol,Stockwood ,yes,yes,LAL,,,,,,26.0,26.0
Bristol,Trinity Road,Yes,no,,XLR,2013,,,"Originally St Philips Public Library, now serviced offices. Replacedy by Junction 3 Library",,
Bristol,Westbury ,yes,yes,LAL,,,,,,30.0,30.0
Bristol,Whitchurch ,yes,yes,LAL,,,,,,20.0,20.0
Bristol,Wick Road ,yes,yes,LAL,,,,,,27.0,27.0
Bromley,Anerley Town Hall,yes,no,,XL,2014,,,Now provides free internet access and collect/drop off books via self service locker,0.0,0.0
Bromley,Beckenham Library,yes,yes,LAL,,,,,,43.5,43.5
Bromley,Biggin Hill Memorial Library and Pool,yes,yes,LAL,,,,,,58.5,58.5
Bromley,Bromley Central Library,yes,yes,LAL,,,,,,52.0,52.0
Bromley,Burnt Ash Library,yes,yes,LAL,,,,,,21.5,21.5
Bromley,Chislehurst Library,yes,yes,LAL,,,,,,42.0,42.0
Bromley,Hayes Library,yes,yes,LAL,,,,,,21.5,21.5
Bromley,Mottingham Library,yes,yes,LAL,,,,,,28.5,28.5
Bromley,Orpington Library,yes,yes,LAL,,,,,,51.5,51.5
Bromley,Penge Library,yes,yes,LAL,,,2014,Yes,Replaced the old Penge Library on Maple Road and Anerley Library,43.5,43.5
Bromley,Petts Wood Library,yes,yes,LAL,,,,,,41.5,41.5
Bromley,Shortlands Library,yes,yes,LAL,,,,,,27.5,27.5
Bromley,Southborough Library,yes,yes,LAL,,,,,,27.5,27.5
Bromley,St Pauls Cray Library,yes,yes,LAL,,,,,,27.5,27.5
Bromley,West Wickham Library,yes,yes,LAL,,,,,,,
Buckinghamshire,Amersham Library,yes,yes,LAL,,,,,,34.0,34.0
Buckinghamshire,Aylesbury Library,yes,yes,LAL,,,,,,43.0,43.0
Buckinghamshire,Aylesbury Study Centre,yes,yes,LAL,,,,,,42.0,42.0
Buckinghamshire,Beacon Villages,yes,yes,CRL+,,,,,Previously called Ivinghoe Library,14.0,14.0
Buckinghamshire,Beaconsfield Library,yes,yes,LAL,,,,,"Significant refurbishment in 2012/13, temporary closure for 3 months",34.0,34.0
Buckinghamshire,Bourne End Library,yes,yes,CRL+,,,,,,32.5,32.5
Buckinghamshire,Buckingham Library,yes,yes,LAL,,,,,"Significant refurbishment in 2015, temporary closure 1 week",34.0,34.0
Buckinghamshire,Burnham Library,yes,yes,CRL+,,,,,,38.0,38.0
Buckinghamshire,Castlefield Library,yes,yes,CRL,,,2015,Yes,"Replaced Castlefield library formerly sharing school premises.( i.e. not a new building, just a relocation)",0.0,0.0
Buckinghamshire,Chalfont St Giles,no,yes,CRL,,,,,,0.0,0.0
Buckinghamshire,Chalfont St Peter,yes,yes,CRL,,,,,,0.0,0.0
Buckinghamshire,Chesham Library,yes,yes,LAL,,,,,Refurbished in 2014,34.0,34.0
Buckinghamshire,Farnham Common,yes,yes,CRL,,,,,,0.0,0.0
Buckinghamshire,Flackwell Heath,yes,yes,CRL,,,,,,0.0,0.0
Buckinghamshire,Gerrards Cross,yes,yes,CRL+,,,,,,30.0,30.0
Buckinghamshire,Great Missenden Library,yes,yes,CRL+,,,,,Significant refurbishment in 2014,27.0,27.0
Buckinghamshire,Haddenham,yes,yes,CRL+,,,,,,27.5,27.5
Buckinghamshire,Hazlemere Library,yes,yes,LAL,,,,,,34.0,34.0
Buckinghamshire,High Wycombe Library,yes,yes,LAL,,,,,,43.0,43.0
Buckinghamshire,Iver Heath,yes,yes,CRL+,,,,,,17.0,17.0
Buckinghamshire,Little Chalfont,no,yes,CRL,,,,,,0.0,0.0
Buckinghamshire,Long Crendon,yes,yes,CRL,,,,,,0.0,0.0
Buckinghamshire,Marlow Library,yes,yes,LAL,,,,,,34.0,34.0
Buckinghamshire,Micklefield Library,yes,yes,LAL,,,,,,15.0,15.0
Buckinghamshire,Princes Risborough Library,yes,yes,LAL,,,,,,26.5,26.5
Buckinghamshire,Steeple Claydon,no,no,ICL+,,,,,,,
Buckinghamshire,Stokenchurch,yes,yes,CRL,,,,,,0.0,0.0
Buckinghamshire,Thomas Hickman School,yes,no,,XL,2011,,,,,
Buckinghamshire,Wendover,yes,yes,CRL+,,,,,,29.0,29.0
Buckinghamshire,West Wycombe,no,yes,CRL,,,,,,0.0,0.0
Buckinghamshire,Wing,yes,yes,CRL,,,,,,0.0,0.0
Buckinghamshire,Winslow,yes,yes,CRL+,,,,,,30.0,30.0
Bury,Ainsworth Library,yes,yes,LAL,,,,,,10.5,10.5
